club_short,player_type,name,notes_young,notes_unavail,notes_notam,notes_can
CHI,UNAVAILABLE PLAYERS,Justin Reynolds,FALSE,FALSE,FALSE,FALSE
CHI,UNAVAILABLE PLAYERS,Missael Rodríguez,FALSE,FALSE,FALSE,FALSE
CHI,UNAVAILABLE PLAYERS,Laurence Wootton,FALSE,FALSE,FALSE,FALSE
CIN,INTERNATIONAL SLOT,Marco Angulo,FALSE,TRUE,FALSE,FALSE
CIN,INTERNATIONAL SLOT,Aaron Boupendza,FALSE,FALSE,FALSE,FALSE
CIN,INTERNATIONAL SLOT,Pavel Bucha,FALSE,FALSE,FALSE,FALSE
CIN,INTERNATIONAL SLOT,Kevin Kelsy,FALSE,FALSE,FALSE,FALSE
CIN,INTERNATIONAL SLOT,Obinna Nwobodo,FALSE,FALSE,FALSE,FALSE
CIN,INTERNATIONAL SLOT,Luca Orellano,FALSE,FALSE,FALSE,FALSE
CIN,DESIGNATED PLAYERS,Luciano Acosta,FALSE,FALSE,TRUE,FALSE
CIN,DESIGNATED PLAYERS,Aaron Boupendza,FALSE,FALSE,TRUE,FALSE
CIN,DESIGNATED PLAYERS,Obinna Nwobodo,FALSE,FALSE,TRUE,FALSE
CIN,U22 INITIATIVE PLAYERS,Marco Angulo,FALSE,TRUE,FALSE,FALSE
CIN,U22 INITIATIVE PLAYERS,Kevin Kelsy,FALSE,FALSE,FALSE,FALSE
CIN,UNAVAILABLE PLAYERS,Joey Akpunonu,FALSE,FALSE,FALSE,FALSE
CIN,UNAVAILABLE PLAYERS,Marco Angulo,FALSE,FALSE,FALSE,FALSE
CIN,UNAVAILABLE PLAYERS,Álvaro Barreal,FALSE,FALSE,FALSE,FALSE
CIN,UNAVAILABLE PLAYERS,Quimi Ordoñez,FALSE,FALSE,FALSE,FALSE
CIN,UNAVAILABLE PLAYERS,Paul Walters,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Rudy Camacho,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Yevhen Cheberko,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Mohamed Farsi,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Cucho Hernández,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Alexandru Matan,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Steven Moreira,FALSE,FALSE,FALSE,FALSE
CLB,INTERNATIONAL SLOT,Yaw Yeboah,FALSE,FALSE,FALSE,FALSE
CLB,DESIGNATED PLAYERS,Cucho Hernández,FALSE,FALSE,TRUE,FALSE
CLB,DESIGNATED PLAYERS,Darlington Nagbe,FALSE,FALSE,FALSE,FALSE
CLB,DESIGNATED PLAYERS,Diego Rossi,FALSE,FALSE,TRUE,FALSE
