File Name,,SLOTS (8),Validation Link
chi.pdf,1,Hugo Cuypers^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=13&page=0
chi.pdf,2,Gastón Giménez,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=14&page=0
chi.pdf,3,Xherdan Shaqiri^,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=15&page=0
chi.pdf,U22,INITIATIVE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=16&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=17&page=0
chi.pdf,1,Brian Gutiérrez,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=18&page=0
chi.pdf,2,Georgios Koutsias,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=19&page=0
chi.pdf,3,Federico Navarro,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=20&page=0
chi.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=21&page=0
chi.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=50691bf968290a43_8294f9a3a7ae3c59&schid=8006&row=22&page=0
